Area,HOI,Author,Citation,Year,Years of data,Country,Dataset where algorithm was performed,Assessment method,Method for sensitivity,Codes used ,Ages,Algorithm,Sensitivity,PPV,Specificity,PMID,Link
Cardiovascular,Atrial Fibrillation,Navar-Boggan,"Navar-Boggan AM, Rymer JA, Piccini JP, et al. Accuracy and validation of an automated electronic algorithm to identify patients with atrial fibrillation at risk for stroke. Am Heart J. 2015;169(1):39-44.e2. doi:10.1016/j.ahj.2014.09.014",2015,2011-12,US,Duke University Health System,EMR review by clinicians,,427.31 (AF) or 427.32 (atrial flutter),All,1+ codes inpatient or 2+ codes outpatient or emergency department visits,,72 (66-77),,25497246,https://pubmed.ncbi.nlm.nih.gov/25497246/
Cardiovascular,Pulmonary Embolism,Alotaibi,"Alotaibi GS, Wu C, Senthilselvan A, McMurtry MS. The validity of ICD codes coupled with imaging procedure codes for identifying acute venous thromboembolism using administrative data. Vasc Med. 2015;20(4):364-368. doi:10.1177/1358863X15573839",2015,2000-2010,Canada,University of Alberta Hospital (UAH) radiology database,Chart review by trained abstractor with medical background,extracted data for all possible VTE patients,"(ICD-9-CM: 415.0 and 415.1; ICD-10-CA: I26.9, I26.0",18+,"1+ codes,  in-patient",75 (67–82),71 (63–78),92 (90–93) ,25834115,https://pubmed.ncbi.nlm.nih.gov/25834115/
Cardiovascular,Pulmonary Embolism,Alotaibi,"Alotaibi GS, Wu C, Senthilselvan A, McMurtry MS. The validity of ICD codes coupled with imaging procedure codes for identifying acute venous thromboembolism using administrative data. Vasc Med. 2015;20(4):364-368. doi:10.1177/1358863X15573839",2015,2000-2010,Canada,University of Alberta Hospital (UAH) radiology database,Chart review by trained abstractor with medical background,extracted data for all possible VTE patients,"(ICD-9-CM: 415.0 and 415.1; ICD-10-CA: I26.9, I26.0",18+,"1+ codes,  in-patient, first position",67 (58–74),84 (76–90),97 (95–98) ,25834115,https://pubmed.ncbi.nlm.nih.gov/25834115/
Cardiovascular,Pulmonary Embolism,White,"White RH, Garcia M, Sadeghi B, et al. Evaluation of the predictive value of ICD-9-CM coded administrative data for venous thromboembolism in the United States. Thromb Res. 2010;126(1):61-67. doi:10.1016/j.thromres.2010.03.009",2010,2005-2007US,US,UCDMC EHR,Complete medical records reviewed by clinicians,,"415.11, 415.19",18+,"1+ codes In-patient, Primary position",,96 (94-98),,20430419,https://pubmed.ncbi.nlm.nih.gov/20430419/
Cardiovascular,Pulmonary Embolism,White,"White RH, Garcia M, Sadeghi B, et al. Evaluation of the predictive value of ICD-9-CM coded administrative data for venous thromboembolism in the United States. Thromb Res. 2010;126(1):61-67. doi:10.1016/j.thromres.2010.03.009",2010,2005-2007US,US,UCDMC EHR,Complete medical records reviewed by clinicians,,"415.11, 415.19",18+,"1+ codes In-patient, Secondary position",,81 (77-86),,20430419,https://pubmed.ncbi.nlm.nih.gov/20430419/
Cardiovascular,Venous Thromboembolism,Alotaibi,"Alotaibi GS, Wu C, Senthilselvan A, McMurtry MS. The validity of ICD codes coupled with imaging procedure codes for identifying acute venous thromboembolism using administrative data. Vasc Med. 2015;20(4):364-368. doi:10.1177/1358863X15573839",2015,2000-2010,Canada,University of Alberta Hospital (UAH) radiology database,Chart review by trained abstractor with medical background,extracted data for all possible VTE patients,"ICD-9-CM: 451.1, 451.2, 451.8, 451.9, 453.2, 453.8,
and 453.9; ICD-10-CA: I80.2, I80.3, I80.1, I82.8, I80.9,
I82.9, I80.8, O22.3, O22.9, O87.1, ICD-9-CM: 415.0 and 415.1; ICD-10-CA: I26.9, I26.0",18+,"1+ codes,  in-patient",75 (69–80),73 (67–79),94 (92–95) ,25834115,https://pubmed.ncbi.nlm.nih.gov/25834115/
Cardiovascular,Venous Thromboembolism,Alotaibi,"Alotaibi GS, Wu C, Senthilselvan A, McMurtry MS. The validity of ICD codes coupled with imaging procedure codes for identifying acute venous thromboembolism using administrative data. Vasc Med. 2015;20(4):364-368. doi:10.1177/1358863X15573839",2015,2000-2010,Canada,University of Alberta Hospital (UAH) radiology database,Chart review by trained abstractor with medical background,extracted data for all possible VTE patients,"ICD-9-CM: 451.1, 451.2, 451.8, 451.9, 453.2, 453.8,
and 453.9; ICD-10-CA: I80.2, I80.3, I80.1, I82.8, I80.9,
I82.9, I80.8, O22.3, O22.9, O87.1, ICD-9-CM: 415.0 and 415.1; ICD-10-CA: I26.9, I26.0",18+,"1+ codes,  in-patient, first position",62 (56–68),83 (77–88),97 (96–98),25834115,https://pubmed.ncbi.nlm.nih.gov/25834115/
Cardiovascular,Venous Thromboembolism,McPeek Hinz,"McPeek Hinz ER, Bastarache L, Denny JC. A natural language processing algorithm to define a venous thromboembolism phenotype. AMIA Annu Symp Proc. 2013;2013:975-983. Published 2013 Nov 16.",2013,199?-2010,US,Vanderbilt University Medical Center Electronic Health Record,Complete medical records reviewed by clinicians,,"??V12.51, 453, 453.0, 453.1, 453.2, 453.4, 453.40,453.41, 453.42, 	453.8, 453.81, 453.82, 453.83, 453.84, 453.85, 453.86, 453.87, 453.89, 453.6, 453.50, 453.75, 453.51, 453.79, 453.77, 453.52, 453.5, 453.82, 453.7, 453.71, 453.73, 453.74, 453.76, 415.1, 415.11, 415.19	",All,1+ codes,,69 (65-73),,24551388,https://pubmed.ncbi.nlm.nih.gov/24551388/
Cardiovascular,Venous Thromboembolism,White,"White RH, Garcia M, Sadeghi B, et al. Evaluation of the predictive value of ICD-9-CM coded administrative data for venous thromboembolism in the United States. Thromb Res. 2010;126(1):61-67. doi:10.1016/j.thromres.2010.03.009",2010,2005-2007US,US,UCDMC EHR,Complete medical records reviewed by clinicians,,"415.X, 451.X, 453.X",18+,"1+ codes In-patient, Primary position",,94 (90-97),,20430419,https://pubmed.ncbi.nlm.nih.gov/20430419/
Cardiovascular,Venous Thromboembolism,White,"White RH, Garcia M, Sadeghi B, et al. Evaluation of the predictive value of ICD-9-CM coded administrative data for venous thromboembolism in the United States. Thromb Res. 2010;126(1):61-67. doi:10.1016/j.thromres.2010.03.009",2010,2005-2007US,US,UCDMC EHR,Complete medical records reviewed by clinicians,,"415.X, 451.X, 453.X",18+,"1+  codes In-patient, Secondary position",,75 (71-80),,20430419,https://pubmed.ncbi.nlm.nih.gov/20430419/
Immunology,Ankylosing spondylitis,Curtis,"Curtis JR, Harrold LR, Asgari MM, et al. Diagnostic Prevalence of Ankylosing Spondylitis Using Computerized Health Care Data, 1996 to 2009: Underrecognition in a US Health Care Setting. Perm J. 2016;20(4):15-151. doi:10.7812/TPP/15-151",2016,1996-2009,US,Kaiser Permanente Northern California,EHR record assessed by trained medical abstractor,,"(ICD-9) diagnosis Code 720.0, 720.1, 720.9",18+,2+ codes in primary care or 1+ codes in rheumatology,,62 (60–64),,27479952,https://pubmed.ncbi.nlm.nih.gov/27479952/
Immunology,Ankylosing spondylitis,Curtis,"Curtis JR, Harrold LR, Asgari MM, et al. Diagnostic Prevalence of Ankylosing Spondylitis Using Computerized Health Care Data, 1996 to 2009: Underrecognition in a US Health Care Setting. Perm J. 2016;20(4):15-151. doi:10.7812/TPP/15-151",2016,1996-2009,US,Kaiser Permanente Northern California,EHR record assessed by trained medical abstractor,,"(ICD-9) diagnosis Code 720.0, 720.1, 720.9",18+,2+ codes,,66 (64–68),,27479952,https://pubmed.ncbi.nlm.nih.gov/27479952/
Immunology,Ankylosing spondylitis,Curtis,"Curtis JR, Harrold LR, Asgari MM, et al. Diagnostic Prevalence of Ankylosing Spondylitis Using Computerized Health Care Data, 1996 to 2009: Underrecognition in a US Health Care Setting. Perm J. 2016;20(4):15-151. doi:10.7812/TPP/15-151",2016,1996-2009,US,Kaiser Permanente Northern California,EHR record assessed by trained medical abstractor,,"(ICD-9) diagnosis Code 720.0, 720.1, 720.9",18+,"1+ codes, rheumatology",,73 (71–76),,27479952,https://pubmed.ncbi.nlm.nih.gov/27479952/
Immunology,Ankylosing spondylitis,Curtis,"Curtis JR, Harrold LR, Asgari MM, et al. Diagnostic Prevalence of Ankylosing Spondylitis Using Computerized Health Care Data, 1996 to 2009: Underrecognition in a US Health Care Setting. Perm J. 2016;20(4):15-151. doi:10.7812/TPP/15-151",2016,1996-2009,US,Kaiser Permanente Northern California,EHR record assessed by trained medical abstractor,,"(ICD-9) diagnosis Code 720.0, 720.1, 720.9",18+,"2+ codes, rheumatology",,81 (79–83),,27479952,https://pubmed.ncbi.nlm.nih.gov/27479952/
Immunology,Ankylosing spondylitis,Dubreuil ,"Dubreuil M, Peloquin C, Zhang Y, Choi HK, Inman RD, Neogi T. Validity of ankylosing spondylitis diagnoses in The Health Improvement Network. Pharmacoepidemiol Drug Saf. 2016;25(4):399-404. doi:10.1002/pds.3952",2017,2000-2013,UK,THIN,Survey to GP asking if the diagnosis was confirmed by a rheumatologist,,Read code N100.00,18–59,1+ codes,,72 (61–81),,26762622,https://pubmed.ncbi.nlm.nih.gov/26762622/
Immunology,Ankylosing spondylitis,Dubreuil ,"Dubreuil M, Peloquin C, Zhang Y, Choi HK, Inman RD, Neogi T. Validity of ankylosing spondylitis diagnoses in The Health Improvement Network. Pharmacoepidemiol Drug Saf. 2016;25(4):399-404. doi:10.1002/pds.3952",2017,2000-2013,UK,THIN,Survey to GP asking if the diagnosis was confirmed by a rheumatologist,,Read code N100.00,18–59,2+ codes ? 7 days apart,,89 (75–96),,26762622,https://pubmed.ncbi.nlm.nih.gov/26762622/
Immunology,Ankylosing spondylitis,Dubreuil ,"Dubreuil M, Peloquin C, Zhang Y, Choi HK, Inman RD, Neogi T. Validity of ankylosing spondylitis diagnoses in The Health Improvement Network. Pharmacoepidemiol Drug Saf. 2016;25(4):399-404. doi:10.1002/pds.3952",2017,2000-2013,UK,THIN,Survey to GP asking if the diagnosis was confirmed by a rheumatologist,,Read code N100.00,18–59,1+ codes and absence of OA code,,75 (76–97),,26762622,https://pubmed.ncbi.nlm.nih.gov/26762622/
Immunology,Ankylosing spondylitis,Dubreuil ,"Dubreuil M, Peloquin C, Zhang Y, Choi HK, Inman RD, Neogi T. Validity of ankylosing spondylitis diagnoses in The Health Improvement Network. Pharmacoepidemiol Drug Saf. 2016;25(4):399-404. doi:10.1002/pds.3952",2017,2000-2013,UK,THIN,Survey to GP asking if the diagnosis was confirmed by a rheumatologist,,Read code N100.00,18–59,1+ codes and absence of RA code,,73 (61–84),,26762622,https://pubmed.ncbi.nlm.nih.gov/26762622/
Immunology,Ankylosing spondylitis,Dubreuil ,"Dubreuil M, Peloquin C, Zhang Y, Choi HK, Inman RD, Neogi T. Validity of ankylosing spondylitis diagnoses in The Health Improvement Network. Pharmacoepidemiol Drug Saf. 2016;25(4):399-404. doi:10.1002/pds.3952",2017,2000-2013,UK,THIN,Survey to GP asking if the diagnosis was confirmed by a rheumatologist,,Read code N100.00,18–59,1+ codes and DMARD or Biologic,,86 (64–97),,26762622,https://pubmed.ncbi.nlm.nih.gov/26762622/
Immunology,Ankylosing spondylitis,Dubreuil ,"Dubreuil M, Peloquin C, Zhang Y, Choi HK, Inman RD, Neogi T. Validity of ankylosing spondylitis diagnoses in The Health Improvement Network. Pharmacoepidemiol Drug Saf. 2016;25(4):399-404. doi:10.1002/pds.3952",2017,2000-2013,UK,THIN,Survey to GP asking if the diagnosis was confirmed by a rheumatologist,,Read code N100.00,18–59,1+ codes and NSAID,,71 (60–83),,26762622,https://pubmed.ncbi.nlm.nih.gov/26762622/
Immunology,Atopic dermatitis,Hsu,"Hsu DY, Dalal P, Sable KA, et al. Validation of International Classification of Disease Ninth Revision codes for atopic dermatitis. Allergy. 2017;72(7):1091-1095. doi:10.1111/all.13113",2017,2001-2014,US,Northwestern Medicine Electronic Data Warehouse,EMR review by clinicians,,691.8,All,1+ codes,,31 (21-44),,27997983,https://pubmed.ncbi.nlm.nih.gov/27997983/
Immunology,Atopic dermatitis,Hsu,"Hsu DY, Dalal P, Sable KA, et al. Validation of International Classification of Disease Ninth Revision codes for atopic dermatitis. Allergy. 2017;72(7):1091-1095. doi:10.1111/all.13113",2017,2001-2014,US,Northwestern Medicine Electronic Data Warehouse,EMR review by clinicians,,691.8,All,2+ codes,,30 (26-34),,27997983,https://pubmed.ncbi.nlm.nih.gov/27997983/
Immunology,Atopic dermatitis,Hsu,"Hsu DY, Dalal P, Sable KA, et al. Validation of International Classification of Disease Ninth Revision codes for atopic dermatitis. Allergy. 2017;72(7):1091-1095. doi:10.1111/all.13113",2017,2001-2014,US,Northwestern Medicine Electronic Data Warehouse,EMR review by clinicians,,691.8,All,2+ codes Plus hay fever and/or asthma,,47 (40-53),,27997983,https://pubmed.ncbi.nlm.nih.gov/27997983/
Immunology,Atopic dermatitis,Hsu,"Hsu DY, Dalal P, Sable KA, et al. Validation of International Classification of Disease Ninth Revision codes for atopic dermatitis. Allergy. 2017;72(7):1091-1095. doi:10.1111/all.13113",2017,2001-2014,US,Northwestern Medicine Electronic Data Warehouse,EMR review by clinicians,,691.8,All,2+ codes Plus hay fever or asthma and food allergy,,76 (60-89),,27997983,https://pubmed.ncbi.nlm.nih.gov/27997983/
Immunology,Atopic dermatitis,Hsu,"Hsu DY, Dalal P, Sable KA, et al. Validation of International Classification of Disease Ninth Revision codes for atopic dermatitis. Allergy. 2017;72(7):1091-1095. doi:10.1111/all.13113",2017,2001-2014,US,Northwestern Medicine Electronic Data Warehouse,EMR review by clinicians,,692.9,All,1+ codes,,26 (14-42),,27997983,https://pubmed.ncbi.nlm.nih.gov/27997983/
Immunology,Atopic dermatitis,Hsu,"Hsu DY, Dalal P, Sable KA, et al. Validation of International Classification of Disease Ninth Revision codes for atopic dermatitis. Allergy. 2017;72(7):1091-1095. doi:10.1111/all.13113",2017,2001-2014,US,Northwestern Medicine Electronic Data Warehouse,EMR review by clinicians,,692.9,All,2+ codes,,34 (27-40),,27997983,https://pubmed.ncbi.nlm.nih.gov/27997983/
Immunology,Atopic dermatitis,Hsu,"Hsu DY, Dalal P, Sable KA, et al. Validation of International Classification of Disease Ninth Revision codes for atopic dermatitis. Allergy. 2017;72(7):1091-1095. doi:10.1111/all.13113",2017,2001-2014,US,Northwestern Medicine Electronic Data Warehouse,EMR review by clinicians,,692.9,All,2+ codes Plus hay fever and/or asthma,,61 (47-73),,27997983,https://pubmed.ncbi.nlm.nih.gov/27997983/
Immunology,Atopic dermatitis,Hsu,"Hsu DY, Dalal P, Sable KA, et al. Validation of International Classification of Disease Ninth Revision codes for atopic dermatitis. Allergy. 2017;72(7):1091-1095. doi:10.1111/all.13113",2017,2001-2014,US,Northwestern Medicine Electronic Data Warehouse,EMR review by clinicians,,692.9,All,"2+ codes Plus hay fever, food allergy, and/or asthma",,81 (58-95),,27997983,https://pubmed.ncbi.nlm.nih.gov/27997983/
Immunology,Crohns Disease,Ananthakrishnan,"Ananthakrishnan AN, Cai T, Savova G, et al. Improving case definition of Crohn's disease and ulcerative colitis in electronic medical records using natural language processing: a novel informatics approach. Inflamm Bowel Dis. 2013;19(7):1411-1420. doi:10.1097/MIB.0b013e31828133fd",2013,Post-1994,US,EMR data from Massachusetts General Hospital (MGH) and Brigham and Women’s Hospital (BWH),EMR review by clinicians,,555.X,All,1+ codes,,68 (65-72),,23567779,https://pubmed.ncbi.nlm.nih.gov/23567779/
Immunology,Crohns Disease,Ananthakrishnan,"Ananthakrishnan AN, Cai T, Savova G, et al. Improving case definition of Crohn's disease and ulcerative colitis in electronic medical records using natural language processing: a novel informatics approach. Inflamm Bowel Dis. 2013;19(7):1411-1420. doi:10.1097/MIB.0b013e31828133fd",2013,Post-1994,US,EMR data from Massachusetts General Hospital (MGH) and Brigham and Women’s Hospital (BWH),EMR review by clinicians,,555.X,All,5+ codes,,91 (87-94),,23567779,https://pubmed.ncbi.nlm.nih.gov/23567779/
Immunology,Crohns Disease,Ananthakrishnan,"Ananthakrishnan AN, Cai T, Savova G, et al. Improving case definition of Crohn's disease and ulcerative colitis in electronic medical records using natural language processing: a novel informatics approach. Inflamm Bowel Dis. 2013;19(7):1411-1420. doi:10.1097/MIB.0b013e31828133fd",2013,Post-1994,US,EMR data from Massachusetts General Hospital (MGH) and Brigham and Women’s Hospital (BWH),EMR review by clinicians,,555.X,All,1+ codes + endoscopy,,85 (80-89),,23567779,https://pubmed.ncbi.nlm.nih.gov/23567779/
Immunology,Crohns Disease,Ananthakrishnan,"Ananthakrishnan AN, Cai T, Savova G, et al. Improving case definition of Crohn's disease and ulcerative colitis in electronic medical records using natural language processing: a novel informatics approach. Inflamm Bowel Dis. 2013;19(7):1411-1420. doi:10.1097/MIB.0b013e31828133fd",2013,Post-1994,US,EMR data from Massachusetts General Hospital (MGH) and Brigham and Women’s Hospital (BWH),EMR review by clinicians,,555.X,All,4+ codes out-patient or 2+ codes in-patient,,92 (88-95),,23567779,https://pubmed.ncbi.nlm.nih.gov/23567779/
Immunology,Crohns Disease,Stepaniuk,"Stepaniuk P, Bernstein CN, Nugent Z, Singh H. Characterization of inflammatory bowel disease in elderly hospitalized patients in a large central Canadian Health region. Can J Gastroenterol Hepatol. 2015;29(5):274-278. doi:10.1155/2015/724359",2015,2007-2012,Canada,Winnipeg Regional Health Authority (WRHA) Decision Support System,Medical record review,,K50,Elderly (>65 years of age) and young (19 to 50 years of age),1+ codes In-patient,,94 (89-97),,25874650,https://pubmed.ncbi.nlm.nih.gov/25874650/
Immunology,Crohns Disease,Thirumurthi,"Thirumurthi S, Chowdhury R, Richardson P, Abraham NS. Validation of ICD-9-CM diagnostic codes for inflammatory bowel disease among veterans. Dig Dis Sci. 2010;55(9):2592-2598. doi:10.1007/s10620-009-1074-z",2010,2000-2004,US,"VA National
Patient Care Database","Medical-record review was conducted using Veterans Health Information Systems and Technology Architecture (VISTA), an electronic medical-record system",,555.X,18+,1+ codes In-patient,,88 (82-92),,20033847,https://pubmed.ncbi.nlm.nih.gov/20033847/
Immunology,Psoriasis,Eder,"Eder L, Widdifield J, Rosen CF, et al. Identifying and characterizing psoriasis and psoriatic arthritis patients in Ontario administrative data: a population-based study from 1991 to 2015 [published online ahead of print, 2020 Feb 15]. J Rheumatol. 2020;jrheum.190659. doi:10.3899/jrheum.190659",2020,1991-2015,Canada,"Ontario Health Insurance
Plan",Record abstraction from the Electronic Medical Record Primary Care (EMRPC) database,Based on using a key word search for any psoriasis related terms in EMPRC,696.X,20+,1+ codes,70 (68-73),43 (40-45),96 (96-96),32062600,https://pubmed.ncbi.nlm.nih.gov/32062600/
Immunology,Psoriasis,Eder,"Eder L, Widdifield J, Rosen CF, et al. Identifying and characterizing psoriasis and psoriatic arthritis patients in Ontario administrative data: a population-based study from 1991 to 2015 [published online ahead of print, 2020 Feb 15]. J Rheumatol. 2020;jrheum.190659. doi:10.3899/jrheum.190659",2020,1991-2015,Canada,"Ontario Health Insurance
Plan",Record abstraction from the Electronic Medical Record Primary Care (EMRPC) database,Based on using a key word search for any psoriasis related terms in EMPRC,696.X,20+,1+ codes in-patient or 2+ codes out-patient,51 (48-54),62 (58-65),99 (99-99),32062600,https://pubmed.ncbi.nlm.nih.gov/32062600/
Immunology,Psoriasis,Eder,"Eder L, Widdifield J, Rosen CF, et al. Identifying and characterizing psoriasis and psoriatic arthritis patients in Ontario administrative data: a population-based study from 1991 to 2015 [published online ahead of print, 2020 Feb 15]. J Rheumatol. 2020;jrheum.190659. doi:10.3899/jrheum.190659",2020,1991-2015,Canada,"Ontario Health Insurance
Plan",Record abstraction from the Electronic Medical Record Primary Care (EMRPC) database,Based on using a key word search for any psoriasis related terms in EMPRC,696.X,20+,1+ codes in-patient or 3+ codes out-patient,40 (37-43),71 (67-74),99 (99-99),32062600,https://pubmed.ncbi.nlm.nih.gov/32062600/
Immunology,Psoriasis,Icen,"Icen M, Crowson CS, McEvoy MT, Gabriel SE, Maradit Kremers H. Potential misclassification of patients with psoriasis in electronic databases. J Am Acad Dermatol. 2008;59(6):981-985. doi:10.1016/j.jaad.2008.08.034",2008,1976-2000,US,Rochester Epidemiology Project ,Complete medical records reviewed by clinicians,,696.1,18+,1+ codes,,68 (66-70),,18835060,https://pubmed.ncbi.nlm.nih.gov/18835060/
Immunology,Psoriasis,Seminara,"Seminara NM, Abuabara K, Shin DB, et al. Validity of The Health Improvement Network (THIN) for the study of psoriasis. Br J Dermatol. 2011;164(3):602-609. doi:10.1111/j.1365-2133.2010.10134.x",2011,2009,UK,THIN,GP Survey to confirm diagnosis,,26 psoriasis Read Codes,45–64,1+ codes,,90 (89–91) ,,21073449,https://pubmed.ncbi.nlm.nih.gov/21073449/
Immunology,Psoriasis,Seminara,"Seminara NM, Abuabara K, Shin DB, et al. Validity of The Health Improvement Network (THIN) for the study of psoriasis. Br J Dermatol. 2011;164(3):602-609. doi:10.1111/j.1365-2133.2010.10134.x",2011,2009,UK,THIN,GP Survey to confirm diagnosis,,26 psoriasis Read Codes,45–64,2+ codes (on different dates),,95 (94-96),,21073449,https://pubmed.ncbi.nlm.nih.gov/21073449/
Immunology,Psoriasis,Seminara,"Seminara NM, Abuabara K, Shin DB, et al. Validity of The Health Improvement Network (THIN) for the study of psoriasis. Br J Dermatol. 2011;164(3):602-609. doi:10.1111/j.1365-2133.2010.10134.x",2011,2009,UK,THIN,GP Survey to confirm diagnosis,,26 psoriasis Read Codes,45–64,3+ codes,,95 (94-96),,21073449,https://pubmed.ncbi.nlm.nih.gov/21073449/
Immunology,Rheumatoid Arthritis,Hanly,"Hanly JG, Thompson K, Skedgel C. The use of administrative health care databases to identify patients with rheumatoid arthritis. Open Access Rheumatol. 2015;7:69-75. Published 2015 Nov 6. doi:10.2147/OARRR.S92630",2015,1997-2011,Canada,Nova Scotia Medical Services Insurance (MSI) program.,Medical consultations conducted through the rheumatology clinics at The Arthritis Center of Nova Scotia,,"ICD-9: 714.0, 714.1, and 714.2. ICD-10: MO5–MO5.9, MO6.0, MO6.8, and MO6.9",All,1+ codes,,39 (36-41),,27790047,https://pubmed.ncbi.nlm.nih.gov/27790047/
Immunology,Rheumatoid Arthritis,Hanly,"Hanly JG, Thompson K, Skedgel C. The use of administrative health care databases to identify patients with rheumatoid arthritis. Open Access Rheumatol. 2015;7:69-75. Published 2015 Nov 6. doi:10.2147/OARRR.S92630",2015,1997-2011,Canada,Nova Scotia Medical Services Insurance (MSI) program.,Medical consultations conducted through the rheumatology clinics at The Arthritis Center of Nova Scotia,,"ICD-9: 714.0, 714.1, and 714.2. ICD-10: MO5–MO5.9, MO6.0, MO6.8, and MO6.9",All,2+ codes least 2 months apart,,52 (49-55),,27790047,https://pubmed.ncbi.nlm.nih.gov/27790047/
Immunology,Rheumatoid Arthritis,Hanly,"Hanly JG, Thompson K, Skedgel C. The use of administrative health care databases to identify patients with rheumatoid arthritis. Open Access Rheumatol. 2015;7:69-75. Published 2015 Nov 6. doi:10.2147/OARRR.S92630",2015,1997-2011,Canada,Nova Scotia Medical Services Insurance (MSI) program.,Medical consultations conducted through the rheumatology clinics at The Arthritis Center of Nova Scotia,,"ICD-9: 714.0, 714.1, and 714.2. ICD-10: MO5–MO5.9, MO6.0, MO6.8, and MO6.9",All,"1+ codes, in-patient",,77 (70-84),,27790047,https://pubmed.ncbi.nlm.nih.gov/27790047/
Immunology,Rheumatoid Arthritis,Ng,"Ng B, Aslam F, Petersen NJ, Yu HJ, Suarez-Almazor ME. Identification of rheumatoid arthritis patients using an administrative database: a Veterans Affairs study. Arthritis Care Res (Hoboken). 2012;64(10):1490-1496. doi:10.1002/acr.21736",2012,1998-2009,US,VHA administrative databases,Complete medical records reviewed by clinicians,,714.*,18+,2+ codes,,31 (28-34),,22623324,https://pubmed.ncbi.nlm.nih.gov/22623324/
Immunology,Rheumatoid Arthritis,Ng,"Ng B, Aslam F, Petersen NJ, Yu HJ, Suarez-Almazor ME. Identification of rheumatoid arthritis patients using an administrative database: a Veterans Affairs study. Arthritis Care Res (Hoboken). 2012;64(10):1490-1496. doi:10.1002/acr.21736",2012,1998-2009,US,VHA administrative databases,Complete medical records reviewed by clinicians,,714.*,18+,2+ codes with at least one RA codes in a rheumatologist visit,,40 (34-46),,22623324,https://pubmed.ncbi.nlm.nih.gov/22623324/
Immunology,Rheumatoid Arthritis,Ng,"Ng B, Aslam F, Petersen NJ, Yu HJ, Suarez-Almazor ME. Identification of rheumatoid arthritis patients using an administrative database: a Veterans Affairs study. Arthritis Care Res (Hoboken). 2012;64(10):1490-1496. doi:10.1002/acr.21736",2012,1998-2009,US,VHA administrative databases,Complete medical records reviewed by clinicians,,714.*,18+,2+ codes with at least one rheumatology visit and with the last rheumatologist visit with a RA code,,67 (59-76),,22623324,https://pubmed.ncbi.nlm.nih.gov/22623324/
Immunology,Rheumatoid Arthritis,Ng,"Ng B, Aslam F, Petersen NJ, Yu HJ, Suarez-Almazor ME. Identification of rheumatoid arthritis patients using an administrative database: a Veterans Affairs study. Arthritis Care Res (Hoboken). 2012;64(10):1490-1496. doi:10.1002/acr.21736",2012,1998-2009,US,VHA administrative databases,Complete medical records reviewed by clinicians,,714.*,18+,2+ codes with 180D+ DMARD therapy,,60 (55-66),,22623324,https://pubmed.ncbi.nlm.nih.gov/22623324/
Immunology,Rheumatoid Arthritis,Ng,"Ng B, Aslam F, Petersen NJ, Yu HJ, Suarez-Almazor ME. Identification of rheumatoid arthritis patients using an administrative database: a Veterans Affairs study. Arthritis Care Res (Hoboken). 2012;64(10):1490-1496. doi:10.1002/acr.21736",2012,1998-2009,US,VHA administrative databases,Complete medical records reviewed by clinicians,,714.*,18+,2+ codes with at least one RA codes in a rheumatologist visit with 180D+ DMARD therapy,,75 (67-83),,22623324,https://pubmed.ncbi.nlm.nih.gov/22623324/
